物料代码	含税售价(13%)	不含税售价	部件不含税售价	年份
KA173N42800	810	716.81	523.89 	2019
KA173N90700	219	193.81	184.96 	2019
KA173W41400	1506	1332.74	561.95 	2019
KA173W42800	1800	1592.92	717.70 	2019
KA237W40416	947	838.05	365.49 	2019
KA240W46200	828	732.74	313.27 	2019
KA240W47002	920	814.16	323.89 	2019
KA275N40400	434	384.07	298.23 	2019
KA275W43200	1049	928.32	407.08 	2019
KA299N47200	463	409.73	318.58 	2019
KA299W47200	1049	928.32	407.08 	2019
KA354N40600	505	446.9	361.06 	2019
KA354N40700	456	403.54	316.81 	2019
KA354N40800	505	446.9	361.95 	2019
KA354W40700	935	827.43	338.94 	2019
KB173N41000	667	590.27	416.81 	2019
KB173N41200	817	723.01	492.92 	2019
KB173W41000	1579	1397.35	724.78 	2019
KB173W41200	1961	1735.4	930.09 	2019
KB489N40800	522	461.95	330.97 	2019
KB489W40811	1184	1047.79	551.33 	2019
KG157W00900	1481	1310.62	527.43 	2019
KG167N00200	1803	1595.58	0.00 	2019
KG167N00400	1895	1676.99	0.00 	2019
KG167W00200	1412	1249.56	0.00 	2019
KG167W00400	1723	1524.78	0.00 	2019
KH155W00100	1578	1396.46	0.00 	2019
KH167N00100	1755	1553.1	0.00 	2019
KH167W00101	1984	1755.75	0.00 	2019
KH175W00300	1725	1526.55	0.00 	2019
KH175W00400	2059	1822.12	0.00 	2019
KH177N00100	1843	1630.97	0.00 	2019
KH178W00103	1989	1760.18	0.00 	2019
KH178W00400	2060	1823.01	0.00 	2019
KH182N00500	2001	1770.8	0.00 	2019
KH182N01700	2000	1769.91	0.00 	2019
KH186N00200	2031	1797.35	0.00 	2019
KH212N00100	1888	1670.8	0.00 	2019
KH212N00200	1886	1669.03	0.00 	2019
LR02001541	1292	1143.36	0.00 	2019
LR02001710	1210	1070.8	0.00 	2019
LR02001810	1528	1352.21	0.00 	2019
LR02001860	1131	1000.88	0.00 	2019
LR02001870	1155	1022.12	0.00 	2019
LR02001950	1203	1064.6	0.00 	2019
LR02001960	1203	1064.6	0.00 	2019
LR02001970	1225	1084.07	0.00 	2019
LR02001980	1225	1084.07	0.00 	2019
LR02002110	1305	1154.87	0.00 	2019
LR20002780	1252	1107.96	0.00 	2019
LR20002790	1405	1243.36	0.00 	2019
LR20002810	1843	1630.97	0.00 	2019
LR20002890	1812	1603.54	0.00 	2019
LR20002970	1730	1530.97	0.00 	2019
LR20002980	1646	1456.64	0.00 	2019
LR20003020	1267	1121.24	0.00 	2019
LR20003030	1113	984.96	0.00 	2019
LR20003040	1607	1422.12	0.00 	2019
KA173N42700	718	635.4	439.82 	2019
KA299N44000	463	409.73	322.12 	2019
KA299N43100	424	375.22	282.30 	2019
KH147W04303	1593	1409.73	0.00 	2019
KH167N00300	1756	1553.98	0.00 	2019
KH186N00100	2031	1797.35	0.00 	2019
LR02001820	1555	1376.11	0.00 	2019
KA198W40401	989	875.22	372.57 	2019
KA237W40109	780	690.27	294.69 	2019
KA237W40211	910	805.31	357.52 	2019
KA237W40301	828	732.74	307.08 	2019
KA240N00100	380	336.28	244.25 	2019
KA240N00200	432	382.3	290.27 	2019
KA240N00300	382	338.05	246.02 	2019
KA240N00400	433	383.19	299.12 	2019
KA240N00600	464	410.62	306.19 	2019
KA240N00700	418	369.91	270.80 	2019
KA240N00800	469	415.04	324.78 	2019
KA240W00104	846	748.67	307.08 	2019
KA240W00212	965	853.98	374.34 	2019
KA240W00310	908	803.54	317.70 	2019
KA240W00411	1008	892.04	386.73 	2019
KA240W00600	1070	946.9	392.04 	2019
KA240W00700	1000	884.96	338.94 	2019
KA240W00809	1119	990.27	414.16 	2019
KA240W46000	909	804.42	362.83 	2019
KA240W46401	932	824.78	363.72 	2019
KA240W46402	969	857.52	364.60 	2019
KA275N20900	382	338.05	246.90 	2019
KA275N21100	383	338.94	247.79 	2019
KA275N21200	436	385.84	292.92 	2019
KA275N21400	471	416.81	315.93 	2019
KA275N21500	418	369.91	270.80 	2019
KA275N21600	472	417.7	325.66 	2019
KA275N40100	382	338.05	250.44 	2019
KA275N40200	434	384.07	298.23 	2019
KA275N40300	382	338.05	250.44 	2019
KA275W20901	845	747.79	307.08 	2019
KA275W21100	908	803.54	317.70 	2019
KA275W21200	1009	892.92	377.88 	2019
KA275W21400	1075	951.33	392.92 	2019
KA275W21500	1000	884.96	339.82 	2019
KA275W21600	1117	988.5	408.85 	2019
KA275W42500	842	745.13	304.42 	2019
KA299N47100	414	366.37	284.07 	2019
KA299W46900	964	853.1	331.86 	2019
KA299W47000	1049	928.32	396.46 	2019
KA328N40200	437	386.73	316.81 	2019
KA328N40400	438	387.61	316.81 	2019
KA328N40600	523	462.83	359.29 	2019
KA328W40600	1024	906.19	384.07 	2019
KA346N40300	370	327.43	268.14 	2019
KA346N41900	383	338.94	264.60 	2019
KA346N42000	433	383.19	307.08 	2019
KA346W43200	1049	928.32	396.46 	2019
KA352N41600	446	394.69	310.62 	2019
KA352N42000	481	425.66	328.32 	2019
KA352W41600	947	838.05	365.49 	2019
KA352W42000	1079	954.87	397.35 	2019
KA354N40200	478	423.01	341.59 	2019
KA354N40300	431	381.42	300.88 	2019
KA354N40400	478	423.01	342.48 	2019
KA354W40200	906	801.77	353.98 	2019
KA354W40300	789	698.23	297.35 	2019
KA354W40401	966	854.87	355.75 	2019
KA354W40800	1024	906.19	383.19 	2019
KA355N40400	424	375.22	305.31 	2019
KA442N46400	460	407.08	316.81 	2019
KB155W21200	1170	1035.4	561.95 	2019
KB277W20806	1208	1069.03	590.27 	2019
KB283N04804	673	595.58	422.12 	2019
KB283N91100	383	338.94	323.01 	2019
KB283W04801	1287	1138.94	615.93 	2019
KB299N24800	552	488.5	329.20 	2019
KB299W41414	1122	992.92	539.82 	2019
KB299W41614	1185	1048.67	553.10 	2019
KB324N41200	590	522.12	387.61 	2019
KB324N41600	590	522.12	386.73 	2019
KB328N40400	501	443.36	320.35 	2019
KB328N40800	501	443.36	318.58 	2019
KB328W40400	1127	997.35	563.72 	2019
KB328W40800	1102	975.22	556.64 	2019
KB333W40400	1088	962.83	556.64 	2019
KB333W40800	1142	1010.62	565.49 	2019
KB336N02400	756	669.03	485.84 	2019
KB336N02800	872	771.68	595.58 	2019
KB336N03000	873	772.57	580.53 	2019
KB336N03200	872	771.68	595.58 	2019
KB336N90400	588	520.35	423.89 	2019
KB336W00601	1280	1132.74	630.09 	2019
KB338W00401	1163	1029.2	592.04 	2019
KB338W00801	1299	1149.56	633.63 	2019
KB340N01800	1238	1095.58	812.39 	2019
KB340N02800	1614	1428.32	1158.41 	2019
KB340N04000	1220	1079.65	810.62 	2019
KB340N90300	1209	1069.91	956.64 	2019
KB340N90500	815	721.24	608.85 	2019
KB340W00400	1303	1153.1	622.12 	2019
KB340W01800	1745	1544.25	813.27 	2019
KB347N02000	775	685.84	505.31 	2019
KB347N02200	775	685.84	491.15 	2019
KB347N02400	775	685.84	505.31 	2019
KB347N02800	906	801.77	612.39 	2019
KB347N03000	906	801.77	626.55 	2019
KB347N03200	906	801.77	627.43 	2019
KB347N90400	619	547.79	455.75 	2019
KB352N40400	499	441.59	325.66 	2019
KB352N40800	499	441.59	325.66 	2019
KB354N01200	488	431.86	330.09 	2019
KB354N01600	512	453.1	346.90 	2019
KB354W00402	1063	940.71	527.43 	2019
KB354W00800	1103	976.11	561.95 	2019
KB359N02600	639	565.49	398.23 	2019
KB359N02800	617	546.02	400.88 	2019
KB359N03400	814	720.35	554.87 	2019
KB359N03600	794	702.65	557.52 	2019
KB359W02400	1156	1023.01	585.84 	2019
KB359W02600	1190	1053.1	598.23 	2019
KB359W02800	1284	1136.28	621.24 	2019
KB366N00400	775	685.84	491.15 	2019
KB366N00800	775	685.84	491.15 	2019
KB367N40400	567	501.77	365.49 	2019
KB367N40800	567	501.77	365.49 	2019
KB450W00802	1290	1141.59	600.88 	2019
KB474W40400	1128	998.23	555.75 	2019
KB474W40800	1144	1012.39	571.68 	2019
KB489N01600	610	539.82	362.83 	2019
KB493W00801	1314	1162.83	637.17 	2019
KE002W4460	3029	2680.53	0.00 	2019
KE002W4470	1776	1571.68	0.00 	2019
KE002W4480	1380	1221.24	0.00 	2019
KE002W4490	1821	1611.5	0.00 	2019
KE002W4500	1720	1522.12	0.00 	2019
KE002W4520	1299	1149.56	0.00 	2019
KE002W4530	1674	1481.42	0.00 	2019
KF014N0380	916	810.62	0.00 	2019
KF014N0450	558	493.81	0.00 	2019
KF014N0460	618	546.9	0.00 	2019
KF014N0470	770	681.42	0.00 	2019
KF014N0480	842	745.13	0.00 	2019
KF014N0490	657	581.42	0.00 	2019
KF014N0500	1007	891.15	0.00 	2019
KF014N0510	1101	974.34	0.00 	2019
KF014N0520	897	793.81	0.00 	2019
KF014N0530	990	876.11	0.00 	2019
KF014N0540	598	529.2	0.00 	2019
KF014W0310	1714	1516.81	0.00 	2019
KF014W0361	763	675.22	0.00 	2019
KF014W0371	829	733.63	0.00 	2019
KF014W0380	1206	1067.26	0.00 	2019
KF014W0390	1146	1014.16	0.00 	2019
KF014W0400	1590	1407.08	0.00 	2019
KF014W0410	886	784.07	0.00 	2019
KF014W0420	955	845.13	0.00 	2019
KF014W0430	1619	1432.74	0.00 	2019
KF018W0281	1834	1623.01	0.00 	2019
KF018W0290	1918	1697.35	0.00 	2019
KF018W0440	3099	2742.48	0.00 	2019
KF018W0560	3099	2742.48	0.00 	2019
KF050N0170	1073	949.56	0.00 	2019
KF050N0190	659	583.19	0.00 	2019
KF050N0200	620	548.67	0.00 	2019
KF050N0210	1000	884.96	0.00 	2019
KF050N0220	838	741.59	0.00 	2019
KF050W0100	1107	979.65	0.00 	2019
KF050W0110	1000	884.96	0.00 	2019
KF050W0120	1903	1684.07	0.00 	2019
KF050W0130	1482	1311.5	0.00 	2019
KG090N70000	1897	1678.76	0.00 	2019
KG090W70000	3680	3256.64	0.00 	2019
KG135W07100	1782	1576.99	0.00 	2019
KG135W07400	1244	1100.88	0.00 	2019
KG135W08400	2228	1971.68	0.00 	2019
KG155N00200	1209	1069.91	0.00 	2019
KG155N00700	1318	1166.37	0.00 	2019
KG155N01800	1089	963.72	0.00 	2019
KG155W00401	1796	1589.38	0.00 	2019
KG155W00700	1985	1756.64	0.00 	2019
KG155W01800	1820	1610.62	0.00 	2019
KG155W02700	1441	1275.22	0.00 	2019
KG156N00300	1338	1184.07	0.00 	2019
KG156N01100	1820	1610.62	0.00 	2019
KG156N01200	1499	1326.55	0.00 	2019
KG156N03900	2422	2143.36	0.00 	2019
KG156N04900	1270	1123.89	872.57 	2019
KG188N00500	1115	986.73	0.00 	2019
KH057N00200	1759	1556.64	0.00 	2019
KH057N00400	1886	1669.03	0.00 	2019
KH057N90300	1241	1098.23	0.00 	2019
KH057W00105	2003	1772.57	0.00 	2019
KH155N00100	1128	998.23	0.00 	2019
KH155W00206	2028	1794.69	0.00 	2019
KH156N00100	1272	1125.66	0.00 	2019
KH158W01902	2084	1844.25	0.00 	2019
KH158W02002	1717	1519.47	0.00 	2019
KH165N00700	2702	2391.15	0.00 	2019
KH165N00800	2707	2395.58	0.00 	2019
KH165N90400	2073	1834.51	0.00 	2019
KH169N00100	1879	1662.83	0.00 	2019
KH169N00200	1868	1653.1	0.00 	2019
KH181N02700	2391	2115.93	0.00 	2019
KH181W00201	2059	1822.12	0.00 	2019
KH181W00300	1720	1522.12	0.00 	2019
KH181W02700	2202	1948.67	0.00 	2019
KH192N00100	2337	2068.14	0.00 	2019
KH192N00200	2391	2115.93	0.00 	2019
TL1000370	279	246.9	0.00 	2019
KE002N4460	1369	1211.5	0.00 	2019
KE002N4470	1218	1077.88	0.00 	2019
KE002N4480	1117	988.5	0.00 	2019
KE002N4490	1223	1082.3	0.00 	2019
KE002N4500	1104	976.99	0.00 	2019
KE002N4520	1004	888.5	0.00 	2019
KE002N4530	1106	978.76	0.00 	2019
KF010W0550	8963	7931.86	0.00 	2019
KF018N0280	1145	1013.27	0.00 	2019
KF018N0290	1015	898.23	0.00 	2019
KF018N0440	1479	1308.85	0.00 	2019
KF018N0460	1591	1407.96	0.00 	2019
KF018N0560	1622	1435.4	0.00 	2019
KF018N0590	1752	1550.44	0.00 	2019
KF018W0460	3644	3224.78	0.00 	2019
KF018W0590	3644	3224.78	0.00 	2019
KJ100N0210	3625	3207.96	0.00 	2019
KJ100N0270	3956	3500.88	0.00 	2019
KJ100W0210	7261	6425.66	0.00 	2019
KJ100W0270	8854	7835.4	0.00 	2019
KM500N0152	1262	1116.81	0.00 	2019
KM500N0172	1262	1116.81	0.00 	2019
KM500N0211	990	876.11	0.00 	2019
KM500N0231	1022	904.42	0.00 	2019
KM500N0241	1022	904.42	0.00 	2019
KM500N0251	1166	1031.86	0.00 	2019
KM500N0261	1166	1031.86	0.00 	2019
KM500N0271	1166	1031.86	0.00 	2019
KM800N7061	1710	1513.27	0.00 	2019
KM800N7322	1522	1346.9	0.00 	2019
KM810N0320	1161	1027.43	0.00 	2019
KM810N0790	821	726.55	0.00 	2019
KM810N0800	958	847.79	0.00 	2019
KM810N0840	821	726.55	0.00 	2019
KM810N0850	821	726.55	0.00 	2019
KM810N1260	927	820.35	0.00 	2019
KM810N1290	1006	890.27	0.00 	2019
KM810N1912	1195	1057.52	0.00 	2019
KM810N2210	1114	985.84	0.00 	2019
KM810N2220	1215	1075.22	0.00 	2019
KM810N2580	1050	929.2	0.00 	2019
KM810N2600	1204	1065.49	0.00 	2019
KM810N2970	956	846.02	0.00 	2019
KM810N3020	853	754.87	0.00 	2019
KM810N3030	889	786.73	0.00 	2019
KM810N3040	991	876.99	0.00 	2019
KM810N3400	853	754.87	0.00 	2019
KM810N3410	853	754.87	0.00 	2019
KM810N3450	804	711.5	0.00 	2019
KM810N3460	804	711.5	0.00 	2019
KM810N3470	804	711.5	0.00 	2019
KM810N3480	840	743.36	0.00 	2019
KM810N3490	840	743.36	0.00 	2019
KM810N3500	931	823.89	0.00 	2019
KM810N3510	931	823.89	0.00 	2019
KM810N3520	931	823.89	0.00 	2019
KM810N3530	1011	894.69	0.00 	2019
KM810N3540	1011	894.69	0.00 	2019
KM810N3550	1163	1029.2	0.00 	2019
KM810N3570	782	692.04	0.00 	2019
KM810N3590	818	723.89	0.00 	2019
KM810N3600	818	723.89	0.00 	2019
KM810N3640	999	884.07	0.00 	2019
KM810N3660	1174	1038.94	0.00 	2019
KM810N3700	768	679.65	0.00 	2019
KM810N3710	768	679.65	0.00 	2019
KM810N3760	939	830.97	0.00 	2019
KM810N3770	1091	965.49	0.00 	2019
KM810N4800	1105	977.88	0.00 	2019
KM810N5080	1077	953.1	0.00 	2019
KM810N5090	1061	938.94	0.00 	2019
KM810N5120	1257	1112.39	0.00 	2019
KM810N5130	1177	1041.59	0.00 	2019
KN850W1094	5493	4861.06	0.00 	2019
KN850W1103	5474	4844.25	0.00 	2019
KN850W1300	6039	5344.25	0.00 	2019
KN850W1491	11232	9939.82	0.00 	2019
KN850W1501	11284	9985.84	0.00 	2019
KN850W1522	16135	14278.76	0.00 	2019
KN850W1532	16157	14298.23	0.00 	2019
KN850W1630	5352	4736.28	0.00 	2019
KN850W1990	4518	3998.23	0.00 	2019
KN850W2000	4497	3979.65	0.00 	2019
KN850W2020	25666	22713.27	0.00 	2019
KN850W2030	24165	21384.96	0.00 	2019
KN850W2110	5261	4655.75	0.00 	2019
KN850W2140	19349	17123.01	0.00 	2019
KN850W2150	19348	17122.12	0.00 	2019
KN851W2064	18485	16358.41	0.00 	2019
KN851W2094	18463	16338.94	0.00 	2019
KN851W2133	21428	18962.83	0.00 	2019
KN851W2143	21428	18962.83	0.00 	2019
LL01500362	39644	35083.19	0.00 	2019
LL01500630	22101	19558.41	0.00 	2019
LL01500650	29371	25992.04	0.00 	2019
LL01500660	58356	51642.48	0.00 	2019
LL01600030	52466	46430.09	0.00 	2019
LM50902584	7156	6332.74	0.00 	2019
LM50902594	6418	5679.65	0.00 	2019
LM50902595	6413	5675.22	0.00 	2019
LM50902615	5151	4558.41	0.00 	2019
LM50902635	4319	3822.12	0.00 	2019
LM50902637	4438	3927.43	0.00 	2019
LM50902644	3867	3422.12	0.00 	2019
LM50902654	3315	2933.63	0.00 	2019
LM50902716	2089	1848.67	0.00 	2019
LM50902734	2437	2156.64	0.00 	2019
LM50902746	2992	2647.79	0.00 	2019
LM50902854	3312	2930.97	0.00 	2019
LM50902877	4424	3915.04	0.00 	2019
LM50902895	5136	4545.13	0.00 	2019
LM50902965	3117	2758.41	0.00 	2019
LM50902983	3868	3423.01	0.00 	2019
LM50903067	2096	1854.87	0.00 	2019
LM50903084	2435	2154.87	0.00 	2019
LM50903162	2095	1853.98	0.00 	2019
LM50903163	2086	1846.02	0.00 	2019
LM50903174	2089	1848.67	0.00 	2019
LM50903176	2096	1854.87	0.00 	2019
LM50903192	2411	2133.63	0.00 	2019
LM50903193	2435	2154.87	0.00 	2019
LM50903204	2783	2462.83	0.00 	2019
LM50903205	2988	2644.25	0.00 	2019
LM50903213	3273	2896.46	0.00 	2019
LM50903225	3603	3188.5	0.00 	2019
LM50903414	2082	1842.48	0.00 	2019
LM50903425	2261	2000.88	0.00 	2019
LM50903432	2413	2135.4	0.00 	2019
LM50903433	2437	2156.64	0.00 	2019
LM50903434	2461	2177.88	0.00 	2019
LM50903444	2789	2468.14	0.00 	2019
LM50903485	4266	3775.22	0.00 	2019
LM51004340	770	681.42	0.00 	2019
LM51004350	770	681.42	0.00 	2019
LM51004360	711	629.2	0.00 	2019
LM51004370	711	629.2	0.00 	2019
LM51004380	747	661.06	0.00 	2019
LM51004390	743	657.52	0.00 	2019
LM51004400	749	662.83	0.00 	2019
LM51004410	745	659.29	0.00 	2019
LJ71142660	15022	13293.81	0.00 	2019
LJ71155930	36361	32177.88	0.00 	2019
LJ71155940	45664	40410.62	0.00 	2019
LJ71155950	21986	19456.64	0.00 	2019
LJ71155970	45663	40409.73	0.00 	2019
LJ71155980	21747	19245.13	0.00 	2019
LJ71156020	54174	47941.59	0.00 	2019
LJ71156030	34619	30636.28	0.00 	2019
LJ71156040	46791	41407.96	0.00 	2019
LJ71156050	30034	26578.76	0.00 	2019
LJ71156260	32364	28640.71	0.00 	2019
LJ71158780	27085	23969.03	0.00 	2019
LJ71158790	54276	48031.86	0.00 	2019
LJ71158810	18172	16081.42	0.00 	2019
LJ71158850	42042	37205.31	0.00 	2019
LJ71158860	18689	16538.94	0.00 	2019
LJ71158880	43576	38562.83	0.00 	2019
LJ71158890	23143	20480.53	0.00 	2019
LJ71158900	23688	20962.83	0.00 	2019
LJ71158910	44570	39442.48	0.00 	2019
LJ71158920	23143	20480.53	0.00 	2019
LJ71158930	33383	29542.48	0.00 	2019
LJ71159150	69355	61376.11	0.00 	2019
LJ71159180	26746	23669.03	0.00 	2019
LJ71159190	58484	51755.75	0.00 	2019
LJ71159220	27103	23984.96	0.00 	2019
LJ71159230	32023	28338.94	0.00 	2019
LJ71159560	23589	20875.22	0.00 	2019
LJ71159570	56787	50253.98	0.00 	2019
LJ71159590	21842	19329.2	0.00 	2019
LJ71160340	18533	16400.88	0.00 	2019
LJ71160370	18533	16400.88	0.00 	2019
LJ71160400	23271	20593.81	0.00 	2019
LJ71160430	22461	19876.99	0.00 	2019
LJ71160460	23271	20593.81	0.00 	2019
LJ71160830	69911	61868.14	0.00 	2019
LJ71160840	45516	40279.65	0.00 	2019
LJ71160850	22528	19936.28	0.00 	2019
LJ71160860	21762	19258.41	0.00 	2019
LJ71160870	47575	42101.77	0.00 	2019
LJ71160880	28867	25546.02	0.00 	2019
LJ71160890	49781	44053.98	0.00 	2019
LJ71160900	28886	25562.83	0.00 	2019
LJ71160910	74527	65953.1	0.00 	2019
LJ71160920	52359	46335.4	0.00 	2019
LJ71160930	23902	21152.21	0.00 	2019
LJ71160940	27343	24197.35	0.00 	2019
LJ71160950	34604	30623.01	0.00 	2019
LJ71160960	49997	44245.13	0.00 	2019
LJ71160970	22044	19507.96	0.00 	2019
LJ71160980	34604	30623.01	0.00 	2019
LJ71160990	49997	44245.13	0.00 	2019
LJ71161000	22044	19507.96	0.00 	2019
LJ71161010	57273	50684.07	0.00 	2019
LJ71161020	33903	30002.65	0.00 	2019
LJ71161030	19910	17619.47	0.00 	2019
LJ71161040	27769	24574.34	0.00 	2019
LJ71161050	23988	21228.32	0.00 	2019
LJ71161180	65676	58120.35	0.00 	2019
LJ71161190	45708	40449.56	0.00 	2019
LJ71161200	20836	18438.94	0.00 	2019
LJ71161210	64027	56661.06	0.00 	2019
LJ71161220	45708	40449.56	0.00 	2019
LJ71161230	20836	18438.94	0.00 	2019
LJ71161240	19758	17484.96	0.00 	2019
LJ71161250	46189	40875.22	0.00 	2019
LJ71161260	29001	25664.6	0.00 	2019
LJ71161270	22864	20233.63	0.00 	2019
LJ71161280	30703	27170.8	0.00 	2019
LJ71161290	71433	63215.04	0.00 	2019
LJ71161300	50161	44390.27	0.00 	2019
LJ71161310	22439	19857.52	0.00 	2019
LJ71161320	71383	63170.8	0.00 	2019
LJ71161330	50161	44390.27	0.00 	2019
LJ71161340	22439	19857.52	0.00 	2019
LJ71161350	31138	27555.75	0.00 	2019
LJ71161370	32378	28653.1	0.00 	2019
LJ71161380	19478	17237.17	0.00 	2019
LJ71161390	25373	22453.98	0.00 	2019
LJ71161400	12917	11430.97	0.00 	2019
LJ71161660	22280	19716.81	0.00 	2019
LJ71161690	22280	19716.81	0.00 	2019
LJ71161780	21149	18715.93	0.00 	2019
LJ71161810	21152	18718.58	0.00 	2019
LJ71161880	23845	21101.77	0.00 	2019
LJ71166030	13723	12144.25	0.00 	2019
LJ71166230	48262	42709.73	0.00 	2019
LJ71166240	19376	17146.9	0.00 	2019
LL01500510	85162	75364.6	0.00 	2019
LL01500520	109039	96494.69	0.00 	2019
LL02502022	86720	76743.36	0.00 	2019
LL02502102	225263	199347.79	0.00 	2019
LL02502172	244091	216009.73	0.00 	2019
LL02503282	260485	230517.7	0.00 	2019
LL03501621	377407	333988.5	0.00 	2019
LL03502220	175465	155278.76	0.00 	2019
LL03502250	201985	178747.79	0.00 	2019
LL05002751	864571	765107.08	0.00 	2019
LL05003300	608266	538288.5	0.00 	2019
LL20000860	160500	142035.4	0.00 	2019
LL20000932	95436	84456.64	0.00 	2019
LM501006224	20063	17754.87	0.00 	2019
LM501014414	4359	3857.52	0.00 	2019
LM50106031	7307	6466.37	0.00 	2019
LM50109472	20794	18401.77	0.00 	2019
LM50122835	13035	11535.4	0.00 	2019
LM5012829	6435	5694.69	0.00 	2019
LM50903052	2097	1855.75	0.00 	2019
LM50903295	2422	2143.36	0.00 	2019
MC010430	3500	3097.35	0.00 	2019
MC010431	3500	3097.35	0.00 	2019
KA237W40417	927	820.35	380.53 	2019
KA240W40800	1083	958.41	386.73 	2019
KA354W40100	786	695.58	291.15 	2019
KB155W21600	1292	1143.36	610.62 	2019
KB279N41424	641	567.26	436.28 	2019
KB299N50400	460	407.08	291.15 	2019
KB340N02200	1562	1382.3	1109.73 	2019
KB340N02600	1561	1381.42	1109.73 	2019
KB340N90400	833	737.17	610.62 	2019
KB340W00800	1303	1153.1	622.12 	2019
KB359N03200	794	702.65	557.52 	2019
KB373N00800	702	621.24	440.71 	2019
KB468N00800	685	606.19	430.97 	2019
KB489W40610	1163	1029.2	548.67 	2019
KB489W40812	1189	1052.21	557.52 	2019
KB489W40813	1185	1048.67	562.83 	2019
KF014W0350	1478	1307.96	0.00 	2019
KG090N69900	2035	1800.88	0.00 	2019
KG135N08000	1309	1158.41	0.00 	2019
KG135W08000	2025	1792.04	0.00 	2019
KG155N00400	1337	1183.19	0.00 	2019
KG155W00200	1411	1248.67	0.00 	2019
KG155W00400	1783	1577.88	0.00 	2019
KG186N00100	2164	1915.04	0.00 	2019
KG186N00200	2073	1834.51	0.00 	2019
KG188N00300	1346	1191.15	0.00 	2019
KG188W00300	1790	1584.07	0.00 	2019
KH118N04000	1841	1629.2	0.00 	2019
KH118W03602	2042	1807.08	0.00 	2019
KH158N00400	3847	3404.42	0.00 	2019
KH158W00302	1584	1401.77	0.00 	2019
KH158W01900	2064	1826.55	0.00 	2019
KH162N00100	1456	1288.5	0.00 	2019
KH177N00200	1975	1747.79	0.00 	2019
KH177N00500	1975	1747.79	0.00 	2019
KH181N00100	2337	2068.14	0.00 	2019
KH181N00400	2336	2067.26	0.00 	2019
KH182N00100	1996	1766.37	0.00 	2019
KH182N00200	1996	1766.37	0.00 	2019
KH182N00600	2001	1770.8	0.00 	2019
KH188N00400	1304	1153.98	0.00 	2019
KH188W00100	1957	1731.86	0.00 	2019
KH190W01100	3468	3069.03	0.00 	2019
KH208N00100	1163	1029.2	0.00 	2019
CH057N00100_L38123S	2044	1808.85	0.00 	2019
CH057N00100_L53050	1777	1572.57	0.00 	2019
CH057N00100_X10322	1796	1589.38	0.00 	2019
CH057N00101_L02565	2009	1777.88	0.00 	2019
CH074N00100	4490	3973.45	0.00 	2019
KA299N44200	417	369.03	300.00 	2019
KA352N41400	446	394.69	310.62 	2019
KA352W41400	900	796.46	350.44 	2019
KA299N43600	430	380.53	306.19 	2019
KA299N44400	417	369.03	300.00 	2019
KA346N40400	419	370.8	300.88 	2019
KA442N44400	435	384.96	307.96 	2019
KB155N40400	460	407.08	293.81 	2019
KB277N40423	509	450.44	315.04 	2019
KB283N04404	673	595.58	414.16 	2019
KB283N06804	796	704.42	528.32 	2019
KB291N02004	703	622.12	442.48 	2019
KB299N50000	460	407.08	291.15 	2019
KB321N01200	818	723.89	546.02 	2019
KB322N20400	944	835.4	644.25 	2019
KB322N21200	1093	967.26	783.19 	2019
KB338N00400	865	765.49	569.03 	2019
KB355N40400	491	434.51	318.58 	2019
KB359N02400	617	546.02	400.00 	2019
KB442N44400	453	400.88	292.04 	2019
KB452N41200	475	420.35	307.96 	2019
KB483N20400	648	573.45	391.15 	2019
KB484N20400	678	600	422.12 	2019
KB486N20400	600	530.97	360.18 	2019
KB489N40400	522	461.95	330.97 	2019
KB491N00400	1355	1199.12	992.92 	2019
KB491N02000	1354	1198.23	997.35 	2019
KB492N20400	936	828.32	661.06 	2019
KB493N00400	1210	1070.8	904.42 	2019
KB495N21200	801	708.85	534.51 	2019
KB495N22000	648	573.45	412.39 	2019
KA240W46400	940	831.86	366.37 	2019
KA346W40400	940	831.86	366.37 	2019
KA354W40400	940	831.86	352.21 	2019
KB277W20407	1124	994.69	546.90 	2019
KB277W20409	1128	998.23	559.29 	2019
KB277W40420	1055	933.63	530.97 	2019
KB283W04401	1184	1047.79	563.72 	2019
KB283W04414	1186	1049.56	569.91 	2019
KB299W46000	1011	894.69	520.35 	2019
KB299W46005	1061	938.94	530.97 	2019
KB321W00400	1183	1046.9	587.61 	2019
KB322W20400	1143	1011.5	557.52 	2019
KB338W00400	1160	1026.55	588.50 	2019
KB442W40408	1054	932.74	528.32 	2019
KB483W20401	1127	997.35	557.52 	2019
KB489W40400	1084	959.29	521.24 	2019
KB489W40410	1087	961.95	533.63 	2019
KB491W00400	1567	1386.73	746.02 	2019
KA299N43000	472	417.7	325.66 	2019
KA299N43800	463	409.73	322.12 	2019
KB155N40600	460	407.08	292.04 	2019
KB277N20601	567	501.77	345.13 	2019
KB283N04604	674	596.46	422.12 	2019
KB291N01403	796	704.42	528.32 	2019
KB291N02203	703	622.12	441.59 	2019
KB299N02200	552	488.5	330.97 	2019
KB299N50200	460	407.08	291.15 	2019
KB321N01400	818	723.89	545.13 	2019
KB322N20600	944	835.4	645.13 	2019
KB322N21400	1094	968.14	782.30 	2019
KB324N40600	567	501.77	365.49 	2019
KB324N43800	736	651.33	521.24 	2019
KB354N01400	509	450.44	344.25 	2019
KB483N20600	648	573.45	405.31 	2019
